payment_id,customer_id,subscription_id,amount,currency,status,payment_date
P3158,C1091,S2091,249,USD,successful,2026-05-02
P3159,C1091,S2091,249,USD,successful,2026-06-04
P3160,C1092,S2092,99,USD,successful,2026-09-07
P3161,C1092,S2092,99,USD,successful,2026-10-08
P3162,C1093,S2093,499,USD,successful,2026-09-28
P3163,C1093,S2093,499,USD,successful,2026-10-31
P3164,C1093,S2093,499,USD,successful,2026-11-30
P3165,C1094,S2094,99,USD,successful,2026-10-11
P3166,C1094,S2094,99,USD,failed,2026-11-10
P3167,C1095,S2095,99,USD,pending,2026-09-28
P3168,C1096,S2096,249,USD,successful,2026-09-30
P3169,C1096,S2096,249,USD,successful,2026-10-04
P3170,C1097,S2097,49,USD,successful,2026-09-23
P3171,C1097,S2097,49,USD,successful,2026-10-27
P3172,C1098,S2098,499,USD,successful,2026-09-22
P3173,C1099,S2099,99,USD,successful,2026-09-20
P3174,C1099,S2099,99,USD,successful,2026-09-25
P3175,C1100,S2100,249,USD,successful,2026-09-20
P3176,C1100,S2100,249,USD,successful,2026-09-22
P3177,C1001,S2001,99,USD,successful,2026-09-19
