invoice_id,customer_id,subscription_id,amount,status,invoice_date
INV4159,C1091,S2091,249,paid,2026-06-04
INV4160,C1092,S2092,99,paid,2026-09-07
INV4161,C1092,S2092,99,paid,2026-10-08
INV4162,C1093,S2093,499,paid,2026-09-28
INV4163,C1093,S2093,499,paid,2026-10-31
INV4164,C1093,S2093,499,paid,2026-11-30
INV4165,C1094,S2094,99,paid,2026-10-11
INV4166,C1094,S2094,99,unpaid,2026-11-10
INV4167,C1095,S2095,99,unpaid,2026-09-28
INV4168,C1096,S2096,249,paid,2026-09-30
INV4169,C1096,S2096,249,paid,2026-10-04
INV4170,C1097,S2097,49,paid,2026-09-23
INV4171,C1097,S2097,49,paid,2026-10-27
INV4172,C1098,S2098,499,paid,2026-09-22
INV4173,C1099,S2099,99,paid,2026-09-20
INV4174,C1099,S2099,99,paid,2026-09-25
INV4175,C1100,S2100,249,paid,2026-09-20
INV4176,C1100,S2100,249,paid,2026-09-22
INV4177,C1001,S2001,99,paid,2026-09-19
